cmtid,ctime,author_username,comment,rating_star
"2954242074","1599366072","ndra.yelyah","Makasih.. packaging rapi bgt & aman,, wangi nya oke banget istri sy pasti suka banget .. recomended banget aslinya ini buat para Gentleman .. ","5"
"7400893052","1644031644","kujikanami","Wangi:wangi nya kaya yang feminim tapi kok maskulin juga. Ketahanan:untuk seniparty ini lebih tahan menurut saya dari yang fwb tapi gatau kalo orang lain yang nyium. Kemasan:sama kaya fwb ini gaperna salah buat di jadiin hadiah buat pasangan kalo punya","5"
"5205456490","1624788620","t*****3","Kemasan:rapih dan aman. Ketahanan:1 hari pun msih kecium. Wangi:Wanginya segerrr. . Sudah 3 kali pesen di onix, gk pernah mengecewakan, senoparty paling seger","5"
"5229109012","1625016437","","Kemasan:aman dan rapi. Ketahanan:awaett bau nya. . Aroma nya aku suka banget n mantap poll","5"
"2766833410","1596185721","araiinaufal","Wah gila sih proses pengirimannya cepet banget. Dan plus aroma parfumnya seenak itu gan, awet benerr bikin lu jd makin berkharisma","5"
"4434261501","1617344319","o.silaban","Kemasan:Istimewa. Ketahanan:Awet. Wangi:Wangi semi2 bacarat ntapp. . Nyesel kalo ga cobaiin 🙌🏻","5"
"4262524496","1615373673","okva_liana","Kemasan:aman,bagus. Ketahanan: tahan lama. Wangi: manis tp gg telalu nyengat. . Suka banget dpt free totebag bagus","5"
"4594844690","1618994662","syifaaazizah","Kemasan:rapi. Ketahanan:mantap. Wangi:enak. . Okey banget wanginya, cocok banget buat cowo2, favorit banget deh","5"
"2676169104","1594537188","ghinaafebriana","Wanginya manis dan kuat, ga semua orang suka sih. Tanah lama!! Tapi jangan disemprot di kulit ya pemirsa krn bikin perih :"")","5"
"32791360387","1741851524","qq_429kvva","Aroma:kalem & wangi. Durabilitas:ok. Tekstur:lembut sekali. . Kualitas parfum ini ok sekali.. ","5"
